type,author,text,parent_url,processed_tokens,processed_text
comment,KRISTENSTE @KristensteStew · Jan 15,@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona,https://x.com/GordoLeyes/status/2011644640345420283,"['mir', 'gent', 'defend', 'parec', 'grav', 'degener', 'suci', 'degener', 'tenes', 'perdon']",mir gent defend parec grav degener suci degener tenes perdon
comment,Alfajor Milka  @CrisTo040804 · Jan 15,"Te das cuenta como le ponen ""empleados bonaerenses"", pero si una chica que ni forma parte del gobierno choca un poste le ponen ""LIBERTARIA""",https://x.com/GordoLeyes/status/2011644640345420283,"['das', 'cuent', 'pon', 'emple', 'bonaerens', 'chic', 'form', 'part', 'gobiern', 'choc', 'post', 'pon', 'libertari']",das cuent pon emple bonaerens chic form part gobiern choc post pon libertari
post,NICOLAS MUÑOZ@NICOLAS71046251·Jan 27,POR QUE LA JUSTICIA NO INVESTIGA A  SERGIO MASSA...?,https://x.com/NICOLAS71046251/status/2016216029999874296,"['justici', 'investig', 'sergi', 'mass']",justici investig sergi mass
comment,Freedom 4ta @Freedom250612 · 16h,Facil,https://x.com/NICOLAS71046251/status/2016216029999874296,['facil'],facil
comment,hdo @hdoian · 16h,Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo.,https://x.com/NICOLAS71046251/status/2016216029999874296,"['interes', 'encolumn', 'detras', 'mejor', 'mtro', 'econom', 'pued', 'dars', 'luj', 'entreg', 'dañ', 'direct']",interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct
comment,Siripo @Siripo11 · 4h,Porque los kukas tienen comprada a la justicia,https://x.com/NICOLAS71046251/status/2016216029999874296,"['kuk', 'compr', 'justici']",kuk compr justici
comment,Sancho @horalfa · 19h,Massa: CAPO MAFIA,https://x.com/NICOLAS71046251/status/2016216029999874296,"['mass', 'cap', 'mafi']",mass cap mafi
comment,julietacobos @julietacobos1 · 15h,@JMilei,https://x.com/NICOLAS71046251/status/2016216029999874296,[],
post,"FAN DE LAJE@AntonioLaje_·Dec 31, 2025"," Nicolás Daniel Rodríguez y Daniela Silva Muñoz son ñoquis del Senado y militantes de la agrupación ultra K ""La Capitana"".   Quedaron detenidos por reiteradas violaciones y abusos contra 4 víctimas.   La pareja integra una secta religiosa que practica ritos sexuales y,",https://x.com/AntonioLaje_/status/2006456765013958906,"['nicolas', 'daniel', 'rodriguez', 'daniel', 'silv', 'muñoz', 'ñoquis', 'sen', 'milit', 'agrup', 'ultra', 'capitan', 'qued', 'deten', 'reiter', 'violacion', 'abus', 'victim', 'parej', 'integr', 'sect', 'religi', 'practic', 'rit', 'sexual']",nicolas daniel rodriguez daniel silv muñoz ñoquis sen milit agrup ultra capitan qued deten reiter violacion abus victim parej integr sect religi practic rit sexual
comment,Homero @HomeroMarqus3 · Jan 1,Hay algún kuka que no sea pedófilo y merquero?,https://x.com/AntonioLaje_/status/2006456765013958906,"['algun', 'kuk', 'pedofil', 'merquer']",algun kuk pedofil merquer
comment,Graciela Cuff @GCuffoni · Jan 1,Ya en el programa de Lanata hace muchos años 3 chicas denunciaron los abusos sexuales dentro de la organizacion de la Cámpora. Ningun colectivo feminista las defendió.,https://x.com/AntonioLaje_/status/2006456765013958906,"['program', 'lanat', 'hac', 'años', 'chic', 'denunci', 'abus', 'sexual', 'dentr', 'organiz', 'campor', 'ningun', 'colect', 'femin', 'defend']",program lanat hac años chic denunci abus sexual dentr organiz campor ningun colect femin defend
comment,Francisco @Francis70115082 · Jan 1,Y no olvidarse de este colaborador de Mayra !!,https://x.com/AntonioLaje_/status/2006456765013958906,"['olvid', 'colabor', 'mayr']",olvid colabor mayr
comment,Gi_sela @Gisela86552210 · Jan 1,"Ah, pero  @magariovero  y  @Kicillofok   solo quieren la reelección indefinida!. . Convirtieron la legislatura BONAERENSE en un antro. Chocolategate, penes de madera, gel anal, estafa con guardapolvos, etc! Hay que ser muy descerebrado para votar a esa LACRAS!.",https://x.com/AntonioLaje_/status/2006456765013958906,"['sol', 'quier', 'reeleccion', 'indefin', 'convirt', 'legislatur', 'bonaerens', 'antro', 'chocolategat', 'pen', 'mader', 'gel', 'anal', 'estaf', 'guardapolv', 'etc', 'ser', 'descerebr', 'vot', 'lacr']",sol quier reeleccion indefin convirt legislatur bonaerens antro chocolategat pen mader gel anal estaf guardapolv etc ser descerebr vot lacr
comment,karina @karinapaniagua3 · Jan 1,El kirchnerismo es una enfermedad mental!,https://x.com/AntonioLaje_/status/2006456765013958906,"['kirchner', 'enfermed', 'mental']",kirchner enfermed mental
post,GAP@GordoAntiProgre·Jan 13,Detuvieron por captación y abuso de menores a Nicolás Rodríguez y Daniela Muñoz. Son militantes kukas de la agrupación La Capitana y empleados del Senado de Pba. El kirchnerismo es delincuencia. Abz!,https://x.com/GordoAntiProgre/status/2011210060073222448,"['detuv', 'captacion', 'abus', 'menor', 'nicolas', 'rodriguez', 'daniel', 'muñoz', 'milit', 'kuk', 'agrup', 'capitan', 'emple', 'sen', 'pba', 'kirchner', 'delincuent', 'abz']",detuv captacion abus menor nicolas rodriguez daniel muñoz milit kuk agrup capitan emple sen pba kirchner delincuent abz
comment,Sebastian Winchester @WinchesterSebas · Jan 13,No averigües que relación tiene Mayra con las prostitutas y menores que tienen tatuada una mariposa. Repito no lo hagas. Abz,https://x.com/GordoAntiProgre/status/2011210060073222448,"['averigü', 'relacion', 'mayr', 'prostitut', 'menor', 'tatu', 'marip', 'repit', 'hag', 'abz']",averigü relacion mayr prostitut menor tatu marip repit hag abz
comment,Ministro de Guerra  @Ale_pura_sangre · Jan 14,"Los kumpas, no solo una asociacion ilicita económica, tambien un conjunto de perversos sexuales. Completitos.",https://x.com/GordoAntiProgre/status/2011210060073222448,"['kump', 'sol', 'asoci', 'ilicit', 'econom', 'tambi', 'conjunt', 'pervers', 'sexual', 'completit']",kump sol asoci ilicit econom tambi conjunt pervers sexual completit
comment,Esclavos impositivos. Rehenes de Milei.  @NoPeronia · Jan 13,El peronismo es delincuencia. Siempre,https://x.com/GordoAntiProgre/status/2011210060073222448,"['peron', 'delincuent', 'siempr']",peron delincuent siempr
comment,margarita @_lafonola22 · Jan 13,El kirchnerismo y todos sus derivados   son secta.,https://x.com/GordoAntiProgre/status/2011210060073222448,"['kirchner', 'deriv', 'sect']",kirchner deriv sect
comment,KUKARACHAS @tucu_Kukarachas · Jan 13,"El PERONISMO... Son Abusadores Sexuales   José Alperovich está con ""domiciliaria"" por salud y anda fumando en el balcón",https://x.com/GordoAntiProgre/status/2011210060073222448,"['peron', 'abus', 'sexual', 'jos', 'alperovich', 'domiciliari', 'salud', 'anda', 'fum', 'balcon']",peron abus sexual jos alperovich domiciliari salud anda fum balcon
post,ASB@GordoLeyes·Jan 14,"Nicolás Rodríguez y Daniela Muñoz. Munipas de Kicillof. Imputados por captación y abuso de menores. Como digo siempre, KUKA = PEDÓFILO.",https://x.com/GordoLeyes/status/2011644640345420283,"['nicolas', 'rodriguez', 'daniel', 'muñoz', 'munip', 'kicillof', 'imput', 'captacion', 'abus', 'menor', 'dig', 'siempr', 'kuk', 'pedofil']",nicolas rodriguez daniel muñoz munip kicillof imput captacion abus menor dig siempr kuk pedofil
comment,El Retrogrado @ERetrogado · Jan 14,ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual,https://x.com/GordoLeyes/status/2011644640345420283,"['dich', 'victori', 'tolos', 'paz', 'peron', 'siempr', 'garch', 'queres', 'garch', 'igual']",dich victori tolos paz peron siempr garch queres garch igual
comment,Adriel mazzalors  @Adriel_Mzz · Jan 14,es facil KUKA = PEDOFILO,https://x.com/GordoLeyes/status/2011644640345420283,"['facil', 'kuk', 'pedofil']",facil kuk pedofil
comment,Juli C. @callmejuu_ · Jan 14,Se confirmó el vínculo con la hermana de cierta presa?,https://x.com/GordoLeyes/status/2011644640345420283,"['confirm', 'vincul', 'herman', 'ciert', 'pres']",confirm vincul herman ciert pres
comment,KRISTENSTE @KristensteStew · Jan 15,@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona,https://x.com/GordoLeyes/status/2011644640345420283,"['mir', 'gent', 'defend', 'parec', 'grav', 'degener', 'suci', 'degener', 'tenes', 'perdon']",mir gent defend parec grav degener suci degener tenes perdon
comment,MD @md8888889 · Jan 15,"Existe algún KuKa que no sea pedófilo, violador, asesino, chorro, narKo, golpeador de mujeres, acosador...?",https://x.com/GordoLeyes/status/2011644640345420283,"['exist', 'algun', 'kuk', 'pedofil', 'violador', 'asesin', 'chorr', 'nark', 'golpeador', 'mujer', 'acos']",exist algun kuk pedofil violador asesin chorr nark golpeador mujer acos
post,Nicolás Medina Parada @nicomedinapa · Jan 26,"En libertad, acompañado de su pareja salió del tribunal Claudio Luna Muñoz (39) cuidador de un predio y acusado de iniciar el primer foco de incendio que se propagó hasta Tomé. No se logró comprobar ni descartar su participación en el hecho  @adnradiochile",https://x.com/nicomedinapa/status/2015889460118921421,"['libert', 'acompañ', 'parej', 'sal', 'tribunal', 'claudi', 'lun', 'muñoz', 'cuidador', 'predi', 'acus', 'inici', 'prim', 'foc', 'incendi', 'propag', 'tom', 'logr', 'comprob', 'descart', 'particip', 'hech']",libert acompañ parej sal tribunal claudi lun muñoz cuidador predi acus inici prim foc incendi propag tom logr comprob descart particip hech
comment,Nicolás Medina Parada @nicomedinapa · Jan 26,"Quedó con arresto domiciliario nocturno. El dueño del predio, un abogado y notario, lo tenía trabajando sin contrato. Dijo que nunca se le avisó sobre las condiciones en que estaba la cocina  @adnradiochile",https://x.com/nicomedinapa/status/2015889460118921421,"['qued', 'arrest', 'domiciliari', 'nocturn', 'dueñ', 'predi', 'abog', 'notari', 'trabaj', 'contrat', 'dij', 'nunc', 'avis', 'condicion', 'cocin']",qued arrest domiciliari nocturn dueñ predi abog notari trabaj contrat dij nunc avis condicion cocin
comment,Belén Canteros @BeleenBetsabe · 7h,Díganle a este hombre que un abogado quiere hablar con él para ayudarlo. ¿Alguien tendrá el contacto?,https://x.com/nicomedinapa/status/2015889460118921421,"['diganl', 'hombr', 'abog', 'quier', 'habl', 'ayud', '¿algui', 'contact']",diganl hombr abog quier habl ayud ¿algui contact
comment,Nicolás Medina Parada @nicomedinapa · 6h,"Su causa la está tomando el defensor regional de Biobío, Osvaldo Pizarro",https://x.com/nicomedinapa/status/2015889460118921421,"['caus', 'tom', 'defensor', 'regional', 'biobi', 'osvald', 'pizarr']",caus tom defensor regional biobi osvald pizarr
comment,carolina caro vega @colilina · Jan 27,No es el responsable,https://x.com/nicomedinapa/status/2015889460118921421,['respons'],respons
comment,Ale Muñoz  @AleMuQ5 · Jan 26,Me da sospecha y me da pena por el hombre imagínate que te pase un accidente así por una estufa en mal estado y el jefe su responsabilidad??? Se corta el hilo por lo más delgado como siempre...Pero le quieren cargar toda la culpa???   Por lo que sé son varios focos incendiarios,https://x.com/nicomedinapa/status/2015889460118921421,"['sospech', 'pen', 'hombr', 'imaginat', 'pas', 'accident', 'asi', 'estuf', 'mal', 'jef', 'respons', 'cort', 'hil', 'delg', 'siempreper', 'quier', 'carg', 'tod', 'culp', 'vari', 'foc', 'incendiari']",sospech pen hombr imaginat pas accident asi estuf mal jef respons cort hil delg siempreper quier carg tod culp vari foc incendiari
post,NariñoHoy @HoyNarino · 5h,"#Nariño| Gremios y autoridades de Nariño analizan impacto de la crisis comercial con Ecuador En la sede de la Cámara de Comercio de Pasto se desarrolló un encuentro ampliado del sector gremial de Nariño, con la participación del alcalde Nicolás Toro Muñoz y el gobernador Luis",https://x.com/HoyNarino/status/2016506234283659457,"['nariñ', 'gremi', 'autor', 'nariñ', 'analiz', 'impact', 'crisis', 'comercial', 'ecuador', 'sed', 'cam', 'comerci', 'past', 'desarroll', 'encuentr', 'ampli', 'sector', 'gremial', 'nariñ', 'particip', 'alcald', 'nicolas', 'tor', 'muñoz', 'gobern', 'luis']",nariñ gremi autor nariñ analiz impact crisis comercial ecuador sed cam comerci past desarroll encuentr ampli sector gremial nariñ particip alcald nicolas tor muñoz gobern luis
post,Pr Dinho Souza @prdinhosouza · Jan 27,"Nicolas é gigante. Um jovem que teve coragem de levantar a voz quando o Brasil estava dormindo — o sono do cansaço, o sono do medo, o sono de quem foi silenciado.  Essa caminhada não é comum. Ela está acordando uma nação e reescrevendo um novo capítulo da nossa história.",https://x.com/prdinhosouza/status/2016155158388900204,"['nicol', 'gigant', 'jovem', 'tev', 'coragem', 'levant', 'voz', 'quand', 'brasil', 'estav', 'dormind', 'son', 'cansaç', 'son', 'med', 'son', 'quem', 'foi', 'silenci', 'essa', 'caminh', 'não', 'comum', 'ela', 'acord', 'uma', 'naçã', 'reescrevend', 'nov', 'capitul', 'noss', 'histori']",nicol gigant jovem tev coragem levant voz quand brasil estav dormind son cansaç son med son quem foi silenci essa caminh não comum ela acord uma naçã reescrevend nov capitul noss histori
post,Romàn @RomanCues_i0sm · 2m," "" ...que los hombres que quieran tener hijos no dependan de una mujer ???????????  No se rían, es la teoría del gran salto evolutivo de Pedro Muñoz Lorite, el abogado que ha denunciado a  @oscar_puente_  por el accidente de Adamuz. Las mujeres están sobreprotegidas y",https://x.com/RomanCues_i0sm/status/2016594311819780504,"['hombr', 'quier', 'ten', 'hij', 'depend', 'muj', 'rian', 'teor', 'gran', 'salt', 'evolut', 'pedr', 'muñoz', 'lorit', 'abog', 'denunci', 'accident', 'adamuz', 'mujer', 'sobreproteg']",hombr quier ten hij depend muj rian teor gran salt evolut pedr muñoz lorit abog denunci accident adamuz mujer sobreproteg
comment,Romàn @RomanCues_i0sm · 1h,"¿Estamos bien de la cabeza?  En un primer momento, no pensaba colgar este video, pero creo que ofrece un perfil completo del personaje.   Dios les coja confesados: La puta Iglesia Católica, Fábrica de comunistas!!! Que aproveche.",https://x.com/RomanCues_i0sm/status/2016594311819780504,"['¿est', 'bien', 'cabez', 'prim', 'moment', 'pens', 'colg', 'vide', 'cre', 'ofrec', 'perfil', 'complet', 'personaj', 'dios', 'coj', 'confes', 'put', 'iglesi', 'catol', 'fabric', 'comun', 'aprovech']",¿est bien cabez prim moment pens colg vide cre ofrec perfil complet personaj dios coj confes put iglesi catol fabric comun aprovech
comment,Romàn @RomanCues_i0sm," "" ...que los hombres que quieran tener hijos no dependan de una mujer ???????????  No se rían, es la teoría del gran salto evolutivo de Pedro Muñoz Lorite, el abogado que ha denunciado a  @oscar_puente_  por el accidente de Adamuz. Las mujeres están sobreprotegidas y valoradas!! Dice el gacho.   https:// youtube.com/watch?v=9HV8YB PIIa0 …",https://x.com/RomanCues_i0sm/status/2016594311819780504,"['hombr', 'quier', 'ten', 'hij', 'depend', 'muj', 'rian', 'teor', 'gran', 'salt', 'evolut', 'pedr', 'muñoz', 'lorit', 'abog', 'denunci', 'accident', 'adamuz', 'mujer', 'sobreproteg', 'valor', 'dic', 'gach', 'youtubecomwatchvhvyb', 'pii']",hombr quier ten hij depend muj rian teor gran salt evolut pedr muñoz lorit abog denunci accident adamuz mujer sobreproteg valor dic gach youtubecomwatchvhvyb pii
post,Daniel Muñoz González @Danielmunozgo1 · Jan 4,Estados Unidos convirtió a Nicolás MADURO en un SÍMBOLO,https://x.com/Danielmunozgo1/status/2007983954301989286,"['unid', 'convirt', 'nicolas', 'madur', 'simbol']",unid convirt nicolas madur simbol
post,Antiponzista @PonzistaAnti · Jan 15,"Terrible el caso de estos dos psicopatas  Nicolás Rodríguez y Silvia Daniela Muñóz, eran empleados del Senado bonaerense y referentes de Movimiento Ciudadano “La Capitana”, una asociación kirchnerista que eran abusadores y violadores  Tenian una estructura piramidal y reclutaban",https://x.com/PonzistaAnti/status/2011838258448076961,"['terribl', 'cas', 'dos', 'psicopat', 'nicolas', 'rodriguez', 'silvi', 'daniel', 'muñoz', 'emple', 'sen', 'bonaerens', 'referent', 'movimient', 'ciudadan', 'capitan', 'asoci', 'kirchner', 'abus', 'violador', 'teni', 'estructur', 'piramidal', 'reclut']",terribl cas dos psicopat nicolas rodriguez silvi daniel muñoz emple sen bonaerens referent movimient ciudadan capitan asoci kirchner abus violador teni estructur piramidal reclut
comment,luis palmeyro @LuisPalmeyro · Jan 15,Todo ese chamanismo se reproduce en entornos de pobreza y miseria principalmente. Es tremendo.,https://x.com/PonzistaAnti/status/2011838258448076961,"['chaman', 'reproduc', 'entorn', 'pobrez', 'miseri', 'principal', 'tremend']",chaman reproduc entorn pobrez miseri principal tremend
comment,Emiliano Balaguer @BalaguerEmi · Jan 15,Lo que describe este párrafo (de otro artículo) lamentablemente es una práctica habitual   https:// 0221.com.ar/la-plata/detie nen-empleados-del-senado-y-dirigente-upcn-n121435 …,https://x.com/PonzistaAnti/status/2011838258448076961,"['describ', 'parraf', 'articul', 'lament', 'practic', 'habitual', 'comarlaplatadeti', 'nenempleadosdelsenadoydirigenteupcnn']",describ parraf articul lament practic habitual comarlaplatadeti nenempleadosdelsenadoydirigenteupcnn
comment,Pedro Sánchez salvando trenes del terrorista deVox @EonWaybright · Jan 15,Cómo vas a comparar a los pobres psicópatas con estos peronistas de pedown ,https://x.com/PonzistaAnti/status/2011838258448076961,"['com', 'vas', 'compar', 'pobr', 'psicopat', 'peron', 'pedown']",com vas compar pobr psicopat peron pedown
post,"Nicolás R. Muñoz  @nicolasrmunoz · Dec 31, 2025",Im very proud of representing my country  and sharing stage with people who have taught me so much ,https://x.com/nicolasrmunoz/status/2006326657020526791,"['very', 'proud', 'representing', 'country', 'and', 'sharing', 'stag', 'with', 'peopl', 'who', 'hav', 'taught', 'much']",very proud representing country and sharing stag with peopl who hav taught much
comment,"Esteban Ortiz @EstebanOrtizMD · Dec 31, 2025",Increíble Nicolás ! Que gran reconocimiento al esfuerzo y al trabajo duro ! Felicitaciones,https://x.com/nicolasrmunoz/status/2006326657020526791,"['increibl', 'nicolas', 'gran', 'reconoc', 'esfuerz', 'trabaj', 'dur', 'felicit']",increibl nicolas gran reconoc esfuerz trabaj dur felicit
comment,"Nicolás R. Muñoz  @nicolasrmunoz · Dec 31, 2025",Gracias amigo! Abrazo grande ,https://x.com/nicolasrmunoz/status/2006326657020526791,"['graci', 'amig', 'abraz', 'grand']",graci amig abraz grand
post,Abril @abrilcba_ · Jan 15,"Estos son Nicolás Rodríguez y Silvia Daniela Muñóz, dos kirxhneristas que abusaron de mujeres durantes años. Se hacían los feministas y eran tremendos delincuentes. Lacras.",https://x.com/abrilcba_/status/2011808112001401099,"['nicolas', 'rodriguez', 'silvi', 'daniel', 'muñoz', 'dos', 'kirxhner', 'abus', 'mujer', 'durant', 'años', 'hac', 'femin', 'tremend', 'delincuent', 'lacr']",nicolas rodriguez silvi daniel muñoz dos kirxhner abus mujer durant años hac femin tremend delincuent lacr
comment,Vasco @elvascocabral · Jan 15,Sabes la cantidad q abra como estos hdp...,https://x.com/abrilcba_/status/2011808112001401099,"['sab', 'cantid', 'abra', 'hdp']",sab cantid abra hdp
comment,Candida Auris  @CandidaAuris · Jan 15,Inés Perado De Senlace.,https://x.com/abrilcba_/status/2011808112001401099,"['ines', 'per', 'senlac']",ines per senlac
comment,Luis Roque Mora @roquetigre · Jan 15,"Serian líderes de una organización coercitiva, mas conocidas como Sektas.",https://x.com/abrilcba_/status/2011808112001401099,"['seri', 'lider', 'organiz', 'coercit', 'mas', 'conoc', 'sekt']",seri lider organiz coercit mas conoc sekt
comment,Claudia @crl1964 · Jan 16,"Se merecen cárcel en la mitad del desierto trabajando para comer, sin redes, sin celular ni beneficios. Inhabilitacion de por vida quitar las jubilaciones de privilegio. En Argentina tenemos q armar una cárcel como la de Bukele o Guantanamo. HDP",https://x.com/abrilcba_/status/2011808112001401099,"['merec', 'carcel', 'mit', 'desiert', 'trabaj', 'com', 'red', 'celul', 'benefici', 'inhabilit', 'vid', 'quit', 'jubil', 'privilegi', 'argentin', 'armar', 'carcel', 'bukel', 'guantanam', 'hdp']",merec carcel mit desiert trabaj com red celul benefici inhabilit vid quit jubil privilegi argentin armar carcel bukel guantanam hdp
comment,Ma. Evi @Evi52Cort · Jan 15,Se merecen + de 25 años en T del Fuego y muchos castigos +,https://x.com/abrilcba_/status/2011808112001401099,"['merec', 'años', 'fueg', 'castig']",merec años fueg castig
post,Alcaldía de Pasto @alcaldiapasto · Jan 27,"Durante el Comité Ampliado Intergremial en Pasto, el alcalde Nicolás Toro Muñoz hizo un llamado al Gobierno Nacional ante el aumento del 30% en aranceles, que afecta la economía fronteriza, e instó a activar los canales diplomáticos con Ecuador. #NicolásToro #ColombiaYEcuador",https://x.com/alcaldiapasto/status/2016102279418376196,"['comit', 'ampli', 'intergremial', 'past', 'alcald', 'nicolas', 'tor', 'muñoz', 'hiz', 'llam', 'gobiern', 'nacional', 'aument', 'arancel', 'afect', 'econom', 'fronteriz', 'insto', 'activ', 'canal', 'diplomat', 'ecuador', 'nicolastor', 'colombiayecu']",comit ampli intergremial past alcald nicolas tor muñoz hiz llam gobiern nacional aument arancel afect econom fronteriz insto activ canal diplomat ecuador nicolastor colombiayecu
post,Rafael Santiago @SantiagoRafa11 · Jan 19," Luis Muñoz es un joven repostero de 27 años, que fue secuestrado el 9 de enero del 2024 después que funcionarios del DGCIM le hicieran el encargo de una torta para capturarlo.  Al llegar al lugar de entrega, encapuchados lo esperaban por “haber escrito algo en WhatsApp.”",https://x.com/SantiagoRafa11/status/2013419979018747995,"['luis', 'muñoz', 'jov', 'reposter', 'años', 'secuestr', 'ener', 'despues', 'funcionari', 'dgcim', 'hic', 'encarg', 'tort', 'captur', 'lleg', 'lug', 'entreg', 'encapuch', 'esper', 'hab', 'escrit', 'whatsapp']",luis muñoz jov reposter años secuestr ener despues funcionari dgcim hic encarg tort captur lleg lug entreg encapuch esper hab escrit whatsapp
comment,Rafael Santiago @SantiagoRafa11 · Jan 19,El testimonio de la hermana de Luis en #HablanLosFamiliares de  @orlandomorenove :,https://x.com/SantiagoRafa11/status/2013419979018747995,"['testimoni', 'herman', 'luis', 'hablanlosfamiliar']",testimoni herman luis hablanlosfamiliar
comment,Rafael Santiago @SantiagoRafa11 · Jan 19,Corrección: el secuestro sucedió el 9 de enero del 2025.,https://x.com/SantiagoRafa11/status/2013419979018747995,"['correccion', 'secuestr', 'suced', 'ener']",correccion secuestr suced ener
comment,@Empapadadeamor @EmpapadaDeAmor · Jan 20,"Después no se vengan a quejar cuando los venezolanos, hartos de tanto abuso y maldad, los quieran linchar. Lo que le pasó a Maduro debería darles una lección de humildad.",https://x.com/SantiagoRafa11/status/2013419979018747995,"['despues', 'veng', 'quej', 'venezolan', 'hart', 'abus', 'mald', 'quier', 'linch', 'pas', 'madur', 'deb', 'darl', 'leccion', 'humild']",despues veng quej venezolan hart abus mald quier linch pas madur deb darl leccion humild
comment,DulceDeMenta  @yucenka2 · Jan 20,Y mucha gente sintiendo lastima por el dictador maduro,https://x.com/SantiagoRafa11/status/2013419979018747995,"['much', 'gent', 'lastim', 'dictador', 'madur']",much gent lastim dictador madur
comment,País en Cambio @PaisEnCAMBIO · Jan 20,"Todos esos esbirros deben ir presos. Muchos se meten a policias porque les permiten amenazar, extorsionar, matraquear, engañar, secuestrar, apresar y delinquir. La limpieza que el próximo gobierno debe hacer en los centros militares y policiales, será larga!",https://x.com/SantiagoRafa11/status/2013419979018747995,"['esbirr', 'deb', 'pres', 'met', 'polici', 'permit', 'amenaz', 'extorsion', 'matraqu', 'engañ', 'secuestr', 'apres', 'delinqu', 'limpiez', 'proxim', 'gobiern', 'deb', 'hac', 'centr', 'militar', 'policial', 'larg']",esbirr deb pres met polici permit amenaz extorsion matraqu engañ secuestr apres delinqu limpiez proxim gobiern deb hac centr militar policial larg
